population_affected,casualty_count,structure_damage_pct,road_accessibility_score,hours_since_last_goods,goods_received_ratio,vulnerability_index,priority_score
2510,6,0.1851,0.0,113,0.3356,0.3267,49.24
3402,0,0.0532,0.0,30,0.0848,0.3215,38.94
2204,6,0.0081,0.5,14,0.2808,0.3826,28.85
1974,2,0.3,0.5,14,0.0952,0.3997,25.28
3695,0,0.1305,1.0,23,0.0859,0.4589,21.73
2104,3,0.277,0.0,40,0.5505,0.4579,46.39
2815,4,0.1911,1.0,2,0.6564,0.1697,8.86
2627,2,0.0779,1.0,76,0.6496,0.1337,9.59
3692,2,0.1124,1.0,108,0.3122,0.2615,20.03
1727,4,0.1161,0.5,3,0.7735,0.3092,25.46
4554,6,0.8389,0.5,157,0.1287,0.3572,49.62
1407,7,0.7728,0.0,228,0.0562,0.334,64.97
2943,4,0.1358,1.0,32,0.6543,0.4979,8.41
2709,1,0.1248,0.0,27,0.1292,0.3478,54.01
1306,1,0.0601,0.0,23,0.3813,0.3007,37.44
3114,4,0.9532,0.0,158,0.2641,0.6023,55.83
1828,2,0.2232,1.0,8,0.4751,0.538,4.83
975,1,0.0764,0.0,57,0.3624,0.465,39.71
3386,3,0.125,0.5,48,0.1459,0.5063,41.79
678,2,0.0598,1.0,78,0.0869,0.2148,12.55
1136,3,0.2951,1.0,20,0.0376,0.4776,10.82
2186,2,0.0451,1.0,4,0.331,0.3372,13.24
3676,2,0.1925,0.5,72,0.0665,0.3251,38.96
3246,3,0.0631,0.0,28,0.09,0.5429,48.3
2482,2,0.8666,0.0,187,0.4573,0.0964,61.11
485,4,0.0683,0.0,55,0.2209,0.3616,36.59
1356,1,0.675,0.5,189,0.508,0.4746,38.55
1603,2,0.8596,0.5,12,0.3039,0.3331,22.37
936,3,0.8617,0.5,41,0.189,0.3838,31.63
361,6,0.7978,0.5,121,0.2506,0.0975,36.15
2262,1,0.182,1.0,11,0.8232,0.5264,6.29
3316,3,0.5384,0.0,22,0.3329,0.5342,48.82
1506,3,0.8216,1.0,6,0.346,0.3564,11.47
3645,0,0.6567,1.0,46,0.1505,0.3773,17.99
603,5,0.9657,0.5,51,0.1711,0.3492,32.36
886,8,0.0602,0.5,94,0.0396,0.1859,32.83
2228,3,0.0573,1.0,58,0.5756,0.1272,14.4
1408,4,0.1125,1.0,34,0.2925,0.2512,4.91
3134,2,0.731,0.5,64,0.5067,0.2224,37.31
2794,3,0.203,0.0,71,0.327,0.5165,49.25
1488,3,0.2081,1.0,137,0.2977,0.468,23.36
660,1,0.7552,0.5,15,0.3242,0.3402,28.28
1357,4,0.3937,0.5,7,0.2895,0.2397,28.34
2841,5,0.1715,0.0,54,0.2447,0.2906,44.87
3218,2,0.06,1.0,44,0.0967,0.5244,17.91
1413,6,0.0832,0.5,24,0.5425,0.4256,31.76
359,7,0.1797,0.5,5,0.9192,0.1835,19.21
571,1,0.9452,1.0,167,0.1151,0.5141,25.72
2685,1,0.7676,0.5,53,0.1833,0.3294,37.94
1469,5,0.2555,0.5,14,0.0709,0.3885,25.22
1497,2,0.197,0.5,12,0.0616,0.4326,22.52
874,0,0.1054,0.5,42,0.5212,0.2646,25.62
859,0,0.0622,1.0,11,0.5065,0.4014,3.87
3604,3,0.5472,0.5,33,0.076,0.2027,40.04
2751,6,0.7878,0.5,50,0.1843,0.2871,34.76
1213,2,0.0265,0.0,21,0.5591,0.2579,33.42
2113,1,0.6933,0.5,13,0.0806,0.2996,30.2
2382,6,0.1133,0.0,132,0.5191,0.4524,54.25
5649,14,0.1635,0.5,11,0.7122,0.1772,35.97
796,2,0.6189,0.5,88,0.1501,0.126,36.08
2360,2,0.5658,0.5,89,0.3195,0.4248,33.1
3592,3,0.1328,0.0,166,0.5707,0.1705,60.28
5231,16,0.0671,0.5,46,0.1077,0.2711,30.83
1163,2,0.7974,0.0,36,0.1773,0.1239,42.07
1454,4,0.4121,0.5,41,0.1935,0.1733,30.05
3154,4,0.4265,0.0,106,0.2131,0.2781,49.97
477,3,0.0492,1.0,33,0.7522,0.4923,6.35
2526,5,0.1542,0.5,229,0.262,0.3532,41.08
6962,24,0.0308,1.0,2,0.4067,0.1289,22.07
2713,3,0.0444,1.0,130,0.29,0.5218,23.92
181,2,0.4815,1.0,66,0.4637,0.5528,11.78
986,2,0.7079,1.0,106,0.3073,0.1564,15.98
1193,0,0.7402,0.0,179,0.3143,0.169,53.77
4147,2,0.4845,0.5,0,0.9118,0.1445,33.09
1764,3,0.1518,1.0,44,0.3925,0.2767,18.05
365,1,0.236,0.5,59,0.2214,0.3276,24.62
1917,1,0.6544,0.5,27,0.1023,0.45,33.66
2208,4,0.0387,0.5,12,0.2951,0.5069,26.21
1321,3,0.1673,0.0,203,0.014,0.4402,63.63
846,1,0.1552,0.0,79,0.4606,0.5846,44.6
7441,19,0.1533,0.5,64,0.1979,0.2113,44.19
3600,3,0.0975,0.5,39,0.2036,0.4786,39.14
3818,0,0.1052,1.0,141,0.4067,0.4877,18.17
1767,6,0.1471,0.5,61,0.2893,0.1869,32.12
1147,1,0.5877,0.0,6,0.8144,0.5259,46.76
1374,3,0.0607,0.0,70,0.2102,0.4282,47.87
601,2,0.1163,0.5,7,0.3295,0.5085,18.91
5579,11,0.0455,0.5,57,0.163,0.3665,34.78
1821,3,0.075,1.0,115,0.1013,0.4198,12.52
4782,3,0.2401,0.5,4,0.8014,0.2417,35.65
1428,5,0.1247,1.0,0,0.4449,0.4601,3.76
2740,3,0.9132,0.5,8,0.4882,0.4748,36.07
2297,5,0.535,0.0,11,0.6191,0.4399,37.18
541,2,0.1499,0.5,26,0.0462,0.4389,38.18
6035,18,0.0999,0.0,37,0.0147,0.232,48.98
1463,3,0.7429,0.0,36,0.1879,0.3525,47.39
728,2,0.1767,0.5,4,0.7574,0.1698,26.5
3171,5,0.8264,0.5,47,0.6122,0.301,32.2
1992,1,0.1,0.0,77,0.0838,0.3177,48.47
2569,3,0.0918,1.0,120,0.1853,0.239,19.07
2143,1,0.0318,0.5,5,0.6689,0.2188,23.66
208,6,0.0796,0.0,10,0.6064,0.3992,42.91
957,4,0.1925,1.0,65,0.1455,0.2848,12.66
924,1,0.3059,0.0,61,0.18,0.1653,50.83
3780,3,0.3171,0.5,79,0.1674,0.3612,38.09
2047,0,0.4944,0.5,38,0.4592,0.1501,37.89
2856,0,0.5987,0.5,27,0.1325,0.4352,27.42
1534,3,0.0194,1.0,0,0.5935,0.3797,3.76
2954,4,0.233,0.5,28,0.3194,0.5243,29.23
1770,1,0.1885,0.0,116,0.0903,0.2855,43.06
1672,5,0.1257,0.5,44,0.1279,0.4991,34.52
2286,3,0.0775,0.5,44,0.0883,0.1189,28.21
2143,4,0.5114,0.0,43,0.0305,0.4649,42.76
8984,16,0.0956,0.5,56,0.2751,0.2716,41.65
947,3,0.8671,0.0,2,0.7703,0.4152,37.98
481,1,0.447,0.5,68,0.5702,0.2383,32.6
2529,2,0.1253,0.5,16,0.0449,0.2125,29.29
1069,8,0.0469,1.0,33,0.1944,0.316,12.21
176,3,0.0974,1.0,13,0.2185,0.2272,5.63
764,3,0.2098,0.5,240,0.2935,0.3968,42.26
7752,21,0.2133,1.0,57,0.4299,0.3025,39.29
925,2,0.5199,0.5,41,0.4256,0.4895,27.71
325,5,0.0956,1.0,84,0.4518,0.4035,18.45
7444,15,0.3434,1.0,6,0.1115,0.213,24.55
736,3,0.1501,1.0,25,0.5839,0.5997,17.88
